t,top_strip_signature,boundary_signature,center_signature,top_strip_deficit,boundary_deficit,center_deficit,transfer,top_edge_fraction
0.0,0.12587291879321927,0.021009178024558296,0.012318815514922473,0.0,0.6662768084916129,0.0,0.17932229333693203,0.10828017688479624
0.1,0.13064829508313014,0.04392576869747828,0.012298910448122691,0.0,0.30225505719232626,0.0,0.9727574279843509,0.6018702834093057
0.2,0.1300316334155411,0.0606271772404906,0.012219206969235718,0.0,0.03695922528760831,0.0,0.7915882896253749,0.6873779779338641
0.30000000000000004,0.1288319330100023,0.07256987178606362,0.012057482952375305,0.0,0.0,0.0,0.9507831869087874,0.6552066953091845
0.4,0.12446291637322797,0.07908344562947688,0.01183243858762186,0.0,0.0,0.0,0.7933731262577832,0.7301877589370895
0.5,0.12044013178309103,0.08347458859512223,0.011542300392680846,0.0,0.0,0.0,0.9254117922382061,0.7085552969192467
0.6000000000000001,0.11439170072380174,0.0843343450756031,0.011211400404985075,0.0,0.0,0.0,0.7958443020312903,0.7718652266990136
0.7000000000000001,0.1089071137309263,0.08452514035164699,0.010828341527867309,0.0,0.0,0.0,0.900339317984663,0.7594640267986877
0.8,0.10209628253289295,0.08233379694472391,0.010415007236988452,0.0,0.0,0.0,0.7991882915751892,0.8098656044889853
0.9,0.0960648677295743,0.08026910331529266,0.009974875175871688,0.0,0.0,0.0,0.8784609658826175,0.8051293148496123
1.0,0.08933897796157413,0.07671670562680384,0.009524648440975291,0.0027628574402659423,0.0,0.0,0.8032292707133143,0.843004403321835
1.1,0.08327236025949915,0.07347589777095422,0.009058765925776842,0.07048085288030415,0.0,0.025423886848401023,0.861706995369981,0.8437903497534436
1.2000000000000002,0.07690732461824998,0.06932584221390425,0.008590650163610542,0.14152990783927522,0.0,0.07578554137563276,0.807540475132589,0.871120228783191
1.3,0.07077093761579317,0.0652372385923221,0.008084035940888915,0.2100266959109136,0.0,0.13028900510267682,0.8499424357581874,0.8754684501288686
1.4000000000000001,0.06425904272905573,0.06029583484081753,0.007537702262711445,0.2827150520760412,0.04222247942214341,0.18906563725374492,0.8117772942849572,0.8950434615702422
1.5,0.05779671647569764,0.05531092644981472,0.006947568605047806,0.3548501034749887,0.1214059456042943,0.2525544359530496,0.8417595525259157,0.9017203952188965
1.6,0.051297957594837525,0.04984901207184672,0.0063340224074578165,0.4273918303270813,0.20816647930201138,0.3185620437646972,0.8158688889319431,0.9160217814557656
1.7000000000000002,0.04488499713937293,0.044428977081984615,0.005692069206998887,0.49897584109007387,0.2942617740722093,0.3876257837988941,0.8362330548485571,0.9236699973037293
1.8,0.03870519090127691,0.038836962210477756,0.005042141749031941,0.5679572919088014,0.38308890703763,0.45754742445124463,0.8195495675263319,0.9342265356509103
1.9000000000000001,0.03274855491709728,0.03344828328806996,0.00439127740463973,0.634447627747283,0.46868612202137583,0.5275698588693551,0.8327069153974908,0.9417578745449717
2.0,0.0007380783943164382,0.0032329681248179174,0.0033741720151533572,0.9917612759209112,0.9486454710699324,0.6369938825468593,0.8226194325664945,0.9501328690887084
2.1,0.0006300785789401035,0.0026450372507109466,0.002601377981308018,0.9929668127396691,0.9579845402835847,0.7201339715990167,0.8208232082207355,0.9497858655857183
2.2,0.0005418156087474232,0.002180709708305564,0.0020148044581049024,0.9939520390563015,0.9653602152945554,0.7832397576414912,0.819648084760554,0.9485392959361358
2.3000000000000003,0.00047028443905632045,0.0018109776192693078,0.00156747996745392,0.9947504983726526,0.9712332757547034,0.8313646089720291,0.8189677679699741,0.9465184253049209
2.4000000000000004,0.0004068360319930894,0.0015123464331110203,0.0012247326528543696,0.9954587346834253,0.9759769240979267,0.8682386543323449,0.8186778849322587,0.9438046443897324
2.5,0.0003548603899743842,0.0012557244489217552,0.0009610134171546886,0.9960389074357008,0.9800532714673834,0.8966105616978026,0.8186903254649027,0.9404517606024129
2.6,0.0003112974543052058,0.0010516098161431,0.0007561082274696954,0.9965251742195779,0.9832955585575699,0.9186550327619633,0.8189313319323666,0.9365108900522753
2.7,0.0002711750332147292,0.0008837477035494833,0.0005972840812663092,0.9969730366137285,0.9859619874812812,0.9357419318329583,0.8193489021248789,0.9319843972338332
2.8000000000000003,0.00023934856540273406,0.0007415349570599562,0.0004736537529444578,0.9973282962836147,0.988220985504725,0.9490425475935133,0.8198832381254157,0.9268822760316888
2.9000000000000004,0.00021042559961381938,0.0006263588762000053,0.00037702797992595884,0.9976511459111324,0.9900505158768834,0.9594379117159791,0.8204931763622233,0.9211959354061957
3.0,0.00018599796820349072,0.0005304334918350597,0.00030125910799798193,0.9979238168315184,0.9915742559003873,0.967589411965183,0.8211460616335565,0.9149323763585502
3.1,0.00016447593567673206,0.00045192819105317766,0.00024165209091006972,0.9981640543035465,0.992821284199002,0.9740021590773252,0.8218165369884577,0.9080621778027973
3.2,0.0001463570095931326,0.0003839890640017342,0.00019437465792368795,0.9983663049503094,0.9939004726508965,0.9790884431536744,0.8224846891470405,0.9005799527987698
3.3000000000000003,0.00013104653831369227,0.0003262898820562086,0.0001568914368344404,0.9985372065094981,0.9948170032797377,0.9831210290728684,0.823135662752332,0.8924781571413359
3.4000000000000004,0.00011671727293306581,0.0002782077057308454,0.00012712576758004243,0.9986971554588726,0.9955807712538685,0.986323331735835,0.8237593030106386,0.8837354508441488
3.5,0.0001044985377185517,0.0002385654922150663,0.00010325494719726428,0.9988335458325822,0.9962104734724644,0.9888914443835181,0.824348066500624,0.8743614587563416
3.6,9.306154371933665e-05,0.00020576814856951812,8.421447922049927e-05,0.9989612101004695,0.9967314474097406,0.9909398895498271,0.8248972898402779,0.8642972462374319
3.7,8.356702297218096e-05,0.00017715123158152765,6.894592470726974e-05,0.9990671917106905,0.9971860167820977,0.9925825380775481,0.8254040748363165,0.8535503017024215
3.8000000000000003,7.503186563589217e-05,0.0001536279852061565,5.640551111541179e-05,0.9991624645256201,0.997559675039734,0.9939316829429531,0.8258672219303422,0.8421445780541983
3.9000000000000004,6.766787783448415e-05,0.0001324593374205392,4.63557020805681e-05,0.9992446642812081,0.9978959313506984,0.9950128792016205,0.8262867939495548,0.830009262782238
4.0,6.081450384646852e-05,0.00011645766840512746,3.821108731702019e-05,0.9993211643626803,0.9981501120733827,0.9958891074941287,0.8266638009959275,0.8171909178505197
4.1000000000000005,5.501847003084864e-05,0.00010125880668133746,3.153665672398737e-05,0.9993858619933489,0.9983915404927063,0.9966071678434252,0.8269998213435296,0.8036682721699113
4.2,4.9615019150099954e-05,8.810761660184487e-05,2.6190173536623492e-05,0.9994461774574299,0.9986004423888363,0.9971823626157004,0.827296815675591,0.7895026743763106
4.3,4.5021592006358325e-05,7.687193208607292e-05,2.180192940100315e-05,0.999497451114952,0.998778917172143,0.9976544664263401,0.8275571690205723,0.7746639161098551
4.4,4.08722055807261e-05,6.722365789028942e-05,1.8197745158246727e-05,0.9995437682136797,0.9989321765168636,0.9980422181244377,0.8277833542703541,0.75917430413435
4.5,3.728552455572843e-05,5.8604036120605954e-05,1.5285972164796015e-05,0.9995838041713127,0.9990690960899765,0.9983554776158063,0.8279778120655317,0.7431096121754759
4.6000000000000005,3.413101849504371e-05,5.1187187886895254e-05,1.2823547294991606e-05,0.9996190160204061,0.9991869100406505,0.998620394545795,0.8281434047622718,0.726382165763327
4.7,3.112554198440319e-05,4.5095903663443934e-05,1.0819722082730608e-05,0.9996525643424923,0.999283667886629,0.9988359735995868,0.8282827589950348,0.7091768247412873
4.800000000000001,2.828381881947872e-05,4.030312176576416e-05,9.166826553321518e-06,0.9996842847847179,0.9993597994929787,0.9990137983180634,0.8283981364675601,0.6914595306729941
4.9,2.579212955296291e-05,3.580363228266285e-05,7.841607748811944e-06,0.9997120980095945,0.9994312722554402,0.9991563703419082,0.8284736920416739,0.6732776555580753
5.0,2.3679766595153887e-05,3.165174120660277e-05,6.624427444586359e-06,0.9997356770436081,0.9994972235429717,0.999287319177502,0.8284536131402243,0.6536890917003281
5.1000000000000005,2.193658522823706e-05,2.8146225555238554e-05,5.640690554726912e-06,0.9997551351261268,0.9995529073907494,0.9993931532924729,0.8284354855270307,0.6337325445423682
5.2,1.9859683248408125e-05,2.5375341638104217e-05,4.818359450434555e-06,0.9997783183306249,0.9995969218792289,0.9994816227658991,0.8284190773361512,0.613441083869819
5.300000000000001,1.802816349170381e-05,2.2682981171853963e-05,4.127253217887325e-06,0.9997987624813237,0.999639689051102,0.9995559745740161,0.8284041954580448,0.5930114021460948
5.4,1.6478958220062644e-05,2.039340064955304e-05,3.6966119787251453e-06,0.9998160553256519,0.9996760582092968,0.9996023045783969,0.8283906993888235,0.5725228960067281
5.5,1.5231375286089657e-05,1.8383035348159245e-05,3.1379055018395143e-06,0.9998299813416929,0.9997079921347314,0.9996624123227738,0.8283784228971038,0.5520298995298798
5.6000000000000005,1.4111841979428034e-05,1.655878329937646e-05,2.749603410067526e-06,0.9998424780169539,0.9997369697184867,0.9997041873224181,0.8283672135194639,0.5315529505805074
5.7,1.3228806499315127e-05,1.4859264751216887e-05,2.44478176422696e-06,0.9998523348095775,0.9997639659557148,0.9997369811816746,0.8283569746419581,0.5111026803603955
5.800000000000001,1.2318777345922044e-05,1.3681045280995369e-05,2.2114379288520394e-06,0.9998624929162995,0.9997826815457032,0.999762085189215,0.8283476153647588,0.49093734474420603
5.9,1.1459685359352273e-05,1.2259741065228482e-05,2.0150950040703762e-06,0.9998720824421418,0.999805258448923,0.9997832084996137,0.8283390418839988,0.4709862804589071
6.0,1.0688905781400612e-05,1.1064119668899545e-05,1.792696033140049e-06,0.9998806861898161,0.9998242504622114,0.9998071350174677,0.828331189317564,0.45145374742317046
